id	label	namespace	icon	source
minecraft:magenta_glazed_terracotta	Magenta Glazed Terracotta	minecraft	launcher-assets\item-icons\minecraft\magenta_glazed_terracotta.png	1.20.1.jar
minecraft:cherry_sapling	Cherry Sapling	minecraft	launcher-assets\item-icons\minecraft\cherry_sapling.png	1.20.1.jar
minecraft:enchanted_book	Enchanted Book	minecraft	launcher-assets\item-icons\minecraft\enchanted_book.png	1.20.1.jar
minecraft:observer	Observer	minecraft		1.20.1.jar
minecraft:chain_command_block	Chain Command Block	minecraft		1.20.1.jar
minecolonies:simplequarry	Simple Quarry	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:white_carpet	White Carpet	minecraft		1.20.1.jar
minecraft:peony	Peony	minecraft	launcher-assets\item-icons\minecraft\peony.png	1.20.1.jar
minecolonies:blockhutenchanter	Enchanter's Tower	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:blackstone	Blackstone	minecraft	launcher-assets\item-icons\minecraft\blackstone.png	1.20.1.jar
minecraft:sheaf_pottery_sherd	Sheaf Pottery Sherd	minecraft	launcher-assets\item-icons\minecraft\sheaf_pottery_sherd.png	1.20.1.jar
minecraft:pointed_dripstone	Pointed Dripstone	minecraft	launcher-assets\item-icons\minecraft\pointed_dripstone.png	1.20.1.jar
minecraft:andesite	Andesite	minecraft	launcher-assets\item-icons\minecraft\andesite.png	1.20.1.jar
mca:light_gray_mangrove_crib	Berço de Mangue Cinza Claro	mca	launcher-assets\item-icons\mca\light_gray_mangrove_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:four_light	Four Light	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:cyan_concrete_powder	Cyan Concrete Powder	minecraft	launcher-assets\item-icons\minecraft\cyan_concrete_powder.png	1.20.1.jar
minecraft:daylight_detector	Daylight Detector	minecraft		1.20.1.jar
minecraft:light_gray_stained_glass	Light Gray Stained Glass	minecraft	launcher-assets\item-icons\minecraft\light_gray_stained_glass.png	1.20.1.jar
mca:orange_cherry_crib	Berço de Cerejeira Laranja	mca	launcher-assets\item-icons\mca\orange_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
structurize:sceptersteel	Scan Tool	structurize	launcher-assets\item-icons\structurize\sceptersteel.png	structurize-1.20.1-1.0.812-snapshot.jar
minecraft:slime_spawn_egg	Slime Spawn Egg	minecraft		1.20.1.jar
minecraft:zombie_villager_spawn_egg	Zombie Villager Spawn Egg	minecraft		1.20.1.jar
minecraft:command_block_minecart	Minecart with Command Block	minecraft	launcher-assets\item-icons\minecraft\command_block_minecart.png	1.20.1.jar
mca:wedding_ring	Aliança de casamento	mca	launcher-assets\item-icons\mca\wedding_ring.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:panda_spawn_egg	Panda Spawn Egg	minecraft		1.20.1.jar
minecraft:stripped_warped_hyphae	Stripped Warped Hyphae	minecraft		1.20.1.jar
minecolonies:blockhutnetherworker	Nether Mine	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:raw_iron	Raw Iron	minecraft	launcher-assets\item-icons\minecraft\raw_iron.png	1.20.1.jar
minecolonies:santa_hat	Santa Hat	minecolonies	launcher-assets\item-icons\minecolonies\santa_hat.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:blockhutstonemason	Stonemason's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:plate_armor_chest	Plate Armor Chestplate	minecolonies	launcher-assets\item-icons\minecolonies\plate_armor_chest.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:soysauce	Soysauce	minecolonies	launcher-assets\item-icons\minecolonies\soysauce.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:skull_banner_pattern	Banner Pattern	minecraft	launcher-assets\item-icons\minecraft\skull_banner_pattern.png	1.20.1.jar
minecraft:shroomlight	Shroomlight	minecraft	launcher-assets\item-icons\minecraft\shroomlight.png	1.20.1.jar
minecraft:polished_granite_stairs	Polished Granite Stairs	minecraft		1.20.1.jar
minecraft:yellow_concrete	Yellow Concrete	minecraft	launcher-assets\item-icons\minecraft\yellow_concrete.png	1.20.1.jar
minecraft:cod_bucket	Bucket of Cod	minecraft	launcher-assets\item-icons\minecraft\cod_bucket.png	1.20.1.jar
minecraft:crimson_sign	Crimson Sign	minecraft	launcher-assets\item-icons\minecraft\crimson_sign.png	1.20.1.jar
minecraft:granite_wall	Granite Wall	minecraft		1.20.1.jar
minecraft:brewing_stand	Brewing Stand	minecraft	launcher-assets\item-icons\minecraft\brewing_stand.png	1.20.1.jar
minecraft:cooked_mutton	Cooked Mutton	minecraft	launcher-assets\item-icons\minecraft\cooked_mutton.png	1.20.1.jar
minecraft:mangrove_fence	Mangrove Fence	minecraft		1.20.1.jar
minecolonies:barbchiefegg	Chief Barbarian Spawn Egg	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:scepterlumberjack	Forest Tool	minecolonies	launcher-assets\item-icons\minecolonies\scepterlumberjack.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:gray_carpet	Gray Carpet	minecraft		1.20.1.jar
mca:potion_of_feminity	Poção da feminilidade	mca	launcher-assets\item-icons\mca\potion_of_feminity.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:quartz	Nether Quartz	minecraft	launcher-assets\item-icons\minecraft\quartz.png	1.20.1.jar
mca:lime_cherry_crib	Berço de Cerejeira Lima	mca	launcher-assets\item-icons\mca\lime_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:lightning_rod	Lightning Rod	minecraft	launcher-assets\item-icons\minecraft\lightning_rod.png	1.20.1.jar
minecraft:copper_block	Block of Copper	minecraft	launcher-assets\item-icons\minecraft\copper_block.png	1.20.1.jar
minecolonies:mint	Mint	minecolonies	launcher-assets\item-icons\minecolonies\mint.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:pink_cherry_crib	Berço de Cerejeira Rosa	mca	launcher-assets\item-icons\mca\pink_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:polar_bear_spawn_egg	Polar Bear Spawn Egg	minecraft		1.20.1.jar
mca:light_gray_jungle_crib	Berço da Selva Cinza Claro	mca	launcher-assets\item-icons\mca\light_gray_jungle_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:lingering_potion	Lingering Potion	minecraft	launcher-assets\item-icons\minecraft\lingering_potion.png	1.20.1.jar
minecraft:green_concrete	Green Concrete	minecraft	launcher-assets\item-icons\minecraft\green_concrete.png	1.20.1.jar
domum_ornamentum:lime_brick_extra	Lime Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:stone_axe	Stone Axe	minecraft	launcher-assets\item-icons\minecraft\stone_axe.png	1.20.1.jar
minecraft:drowned_spawn_egg	Drowned Spawn Egg	minecraft		1.20.1.jar
minecraft:black_banner	Black Banner	minecraft		1.20.1.jar
minecolonies:large_water_bottle	Large Water Bottle	minecolonies	launcher-assets\item-icons\minecolonies\large_water_bottle.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:red_stained_glass_pane	Red Stained Glass Pane	minecraft	launcher-assets\item-icons\minecraft\red_stained_glass_pane.png	1.20.1.jar
domum_ornamentum:cream_bricks	Cream Bricks	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:beacon	Beacon	minecraft	launcher-assets\item-icons\minecraft\beacon.png	1.20.1.jar
minecraft:gold_ore	Gold Ore	minecraft	launcher-assets\item-icons\minecraft\gold_ore.png	1.20.1.jar
minecraft:polished_andesite	Polished Andesite	minecraft	launcher-assets\item-icons\minecraft\polished_andesite.png	1.20.1.jar
minecraft:spruce_stairs	Spruce Stairs	minecraft		1.20.1.jar
minecraft:prismarine_crystals	Prismarine Crystals	minecraft	launcher-assets\item-icons\minecraft\prismarine_crystals.png	1.20.1.jar
minecraft:salmon_bucket	Bucket of Salmon	minecraft	launcher-assets\item-icons\minecraft\salmon_bucket.png	1.20.1.jar
minecraft:dried_kelp_block	Dried Kelp Block	minecraft		1.20.1.jar
mca:light_blue_bamboo_crib	Berço de Bambu Azul Claro	mca	launcher-assets\item-icons\mca\light_blue_bamboo_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:light_gray_dye	Light Gray Dye	minecraft	launcher-assets\item-icons\minecraft\light_gray_dye.png	1.20.1.jar
minecolonies:lamb_stew	Lamb Stew	minecolonies	launcher-assets\item-icons\minecolonies\lamb_stew.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:smooth_stone	Smooth Stone	minecraft	launcher-assets\item-icons\minecraft\smooth_stone.png	1.20.1.jar
domum_ornamentum:purple_cobblestone_extra	Purple Cobblestone Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
domum_ornamentum:brown_stone_bricks	Brown Stone Bricks	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecolonies:veggie_soup	Veggie Soup	minecolonies	launcher-assets\item-icons\minecolonies\veggie_soup.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:stripped_birch_log	Stripped Birch Log	minecraft	launcher-assets\item-icons\minecraft\stripped_birch_log.png	1.20.1.jar
domum_ornamentum:framed	Framed	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecolonies:blockhutsawmill	Sawmill	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:vex_armor_trim_smithing_template	Vex Armor Trim Smithing Template	minecraft	launcher-assets\item-icons\minecraft\vex_armor_trim_smithing_template.png	1.20.1.jar
minecraft:jungle_sapling	Jungle Sapling	minecraft	launcher-assets\item-icons\minecraft\jungle_sapling.png	1.20.1.jar
minecraft:clock	Clock	minecraft	launcher-assets\item-icons\minecraft\clock.png	1.20.1.jar
minecraft:flint	Flint	minecraft	launcher-assets\item-icons\minecraft\flint.png	1.20.1.jar
minecraft:oak_boat	Oak Boat	minecraft	launcher-assets\item-icons\minecraft\oak_boat.png	1.20.1.jar
minecraft:red_mushroom	Red Mushroom	minecraft	launcher-assets\item-icons\minecraft\red_mushroom.png	1.20.1.jar
minecolonies:blockhuttownhall	Town Hall	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:smooth_red_sandstone_slab	Smooth Red Sandstone Slab	minecraft		1.20.1.jar
minecolonies:cooked_rice	Cooked Rice	minecolonies	launcher-assets\item-icons\minecolonies\cooked_rice.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:pitcher_plant	Pitcher Plant	minecraft	launcher-assets\item-icons\minecraft\pitcher_plant.png	1.20.1.jar
minecraft:soul_soil	Soul Soil	minecraft	launcher-assets\item-icons\minecraft\soul_soil.png	1.20.1.jar
minecraft:nether_brick_slab	Nether Brick Slab	minecraft		1.20.1.jar
mca:villager_tracker_00	Villager Tracker 00	mca	launcher-assets\item-icons\mca\villager_tracker_00.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:sponge	Sponge	minecraft	launcher-assets\item-icons\minecraft\sponge.png	1.20.1.jar
mca:villager_tracker_02	Villager Tracker 02	mca	launcher-assets\item-icons\mca\villager_tracker_02.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:cave_spider_spawn_egg	Cave Spider Spawn Egg	minecraft		1.20.1.jar
domum_ornamentum:blockypillar	Blockypillar	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:polished_blackstone_wall	Polished Blackstone Wall	minecraft		1.20.1.jar
mca:grim_reaper_spawn_egg	Ovo gerador de Ceifador Sinistro	mca		minecraft-comes-alive-7.6.16+1.20.1-universal.jar
mca:purple_spruce_crib	Berço de Abeto Roxo	mca	launcher-assets\item-icons\mca\purple_spruce_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecolonies:scepterguard	Guard Scepter	minecolonies	launcher-assets\item-icons\minecolonies\scepterguard.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:deepslate_emerald_ore	Deepslate Emerald Ore	minecraft	launcher-assets\item-icons\minecraft\deepslate_emerald_ore.png	1.20.1.jar
domum_ornamentum:cyan_brick_extra	Cyan Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:jungle_stairs	Jungle Stairs	minecraft		1.20.1.jar
minecraft:water_bucket	Water Bucket	minecraft	launcher-assets\item-icons\minecraft\water_bucket.png	1.20.1.jar
minecolonies:large_soy_milk_bottle	Large Soy Milk Bottle	minecolonies	launcher-assets\item-icons\minecolonies\large_soy_milk_bottle.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:pink_banner	Pink Banner	minecraft		1.20.1.jar
domum_ornamentum:slab/slab_spec	Slab Slab Spec	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:golden_axe	Golden Axe	minecraft	launcher-assets\item-icons\minecraft\golden_axe.png	1.20.1.jar
domum_ornamentum:door/door_vertically_striped_spec	Door Door Vertically Striped Spec	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:nether_quartz_ore	Nether Quartz Ore	minecraft	launcher-assets\item-icons\minecraft\nether_quartz_ore.png	1.20.1.jar
minecraft:lime_banner	Lime Banner	minecraft		1.20.1.jar
minecraft:bamboo_button	Bamboo Button	minecraft		1.20.1.jar
minecraft:milk_bucket	Milk Bucket	minecraft	launcher-assets\item-icons\minecraft\milk_bucket.png	1.20.1.jar
minecraft:cherry_planks	Cherry Planks	minecraft	launcher-assets\item-icons\minecraft\cherry_planks.png	1.20.1.jar
minecraft:red_terracotta	Red Terracotta	minecraft	launcher-assets\item-icons\minecraft\red_terracotta.png	1.20.1.jar
minecraft:seagrass	Seagrass	minecraft	launcher-assets\item-icons\minecraft\seagrass.png	1.20.1.jar
minecolonies:butternut_squash	Butternut Squash	minecolonies	launcher-assets\item-icons\minecolonies\butternut_squash.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:dark_prismarine_slab	Dark Prismarine Slab	minecraft		1.20.1.jar
minecraft:mangrove_slab	Mangrove Slab	minecraft		1.20.1.jar
minecraft:pink_bed	Pink Bed	minecraft	launcher-assets\item-icons\minecraft\pink_bed.png	1.20.1.jar
minecraft:purple_stained_glass_pane	Purple Stained Glass Pane	minecraft	launcher-assets\item-icons\minecraft\purple_stained_glass_pane.png	1.20.1.jar
mca:green_crimson_crib	Berço de Carmesim Verde	mca	launcher-assets\item-icons\mca\green_crimson_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:bee_nest	Bee Nest	minecraft		1.20.1.jar
mca:rose_gold_dust	Pó de ouro rosa	mca	launcher-assets\item-icons\mca\rose_gold_dust.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:exposed_cut_copper_slab	Exposed Cut Copper Slab	minecraft		1.20.1.jar
minecraft:smooth_basalt	Smooth Basalt	minecraft	launcher-assets\item-icons\minecraft\smooth_basalt.png	1.20.1.jar
mca:light_gray_bamboo_crib	Berço de Bambu Cinza Claro	mca	launcher-assets\item-icons\mca\light_gray_bamboo_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:polished_blackstone_brick_slab	Polished Blackstone Brick Slab	minecraft		1.20.1.jar
minecraft:cherry_fence_gate	Cherry Fence Gate	minecraft		1.20.1.jar
mca:blue_spruce_crib	Berço de Abeto Azul	mca	launcher-assets\item-icons\mca\blue_spruce_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:brown_shulker_box	Brown Shulker Box	minecraft	launcher-assets\item-icons\minecraft\brown_shulker_box.png	1.20.1.jar
mca:blue_dark_oak_crib	Berço de Carvalho Escuro Azul	mca	launcher-assets\item-icons\mca\blue_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
structurize:blockbarreldeco_standing	Barrel Vertical	structurize	launcher-assets\item-icons\structurize\blockbarreldeco_standing.png	structurize-1.20.1-1.0.812-snapshot.jar
mca:book_cult_2	Os Sirbens III	mca	launcher-assets\item-icons\mca\book_cult_2.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:turtle_helmet	Turtle Shell	minecraft	launcher-assets\item-icons\minecraft\turtle_helmet.png	1.20.1.jar
minecraft:lime_bed	Lime Bed	minecraft	launcher-assets\item-icons\minecraft\lime_bed.png	1.20.1.jar
minecraft:polished_blackstone_pressure_plate	Polished Blackstone Pressure Plate	minecraft		1.20.1.jar
minecraft:dolphin_spawn_egg	Dolphin Spawn Egg	minecraft		1.20.1.jar
minecraft:plenty_pottery_sherd	Plenty Pottery Sherd	minecraft	launcher-assets\item-icons\minecraft\plenty_pottery_sherd.png	1.20.1.jar
minecraft:bell	Bell	minecraft	launcher-assets\item-icons\minecraft\bell.png	1.20.1.jar
minecraft:nether_bricks	Nether Bricks	minecraft	launcher-assets\item-icons\minecraft\nether_bricks.png	1.20.1.jar
mca:yellow_acacia_crib	Berço de Acácia Amarelo	mca	launcher-assets\item-icons\mca\yellow_acacia_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:dark_oak_fence_gate	Dark Oak Fence Gate	minecraft		1.20.1.jar
minecraft:end_portal_frame	End Portal Frame	minecraft		1.20.1.jar
minecraft:bundle	Bundle	minecraft	launcher-assets\item-icons\minecraft\bundle.png	1.20.1.jar
domum_ornamentum:beige_stone_bricks	Beige Stone Bricks	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:ghast_tear	Ghast Tear	minecraft	launcher-assets\item-icons\minecraft\ghast_tear.png	1.20.1.jar
minecraft:stripped_mangrove_wood	Stripped Mangrove Wood	minecraft		1.20.1.jar
minecraft:ancient_debris	Ancient Debris	minecraft		1.20.1.jar
minecraft:white_wool	White Wool	minecraft	launcher-assets\item-icons\minecraft\white_wool.png	1.20.1.jar
minecraft:cooked_rabbit	Cooked Rabbit	minecraft	launcher-assets\item-icons\minecraft\cooked_rabbit.png	1.20.1.jar
minecraft:music_disc_mellohi	Music Disc	minecraft	launcher-assets\item-icons\minecraft\music_disc_mellohi.png	1.20.1.jar
minecraft:dead_tube_coral_fan	Dead Tube Coral Fan	minecraft	launcher-assets\item-icons\minecraft\dead_tube_coral_fan.png	1.20.1.jar
minecraft:trident_in_hand	Trident In Hand	minecraft	launcher-assets\item-icons\minecraft\trident_in_hand.png	1.20.1.jar
mca:magenta_mangrove_crib	Berço de Mangue Magenta	mca	launcher-assets\item-icons\mca\magenta_mangrove_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:cherry_log	Cherry Log	minecraft	launcher-assets\item-icons\minecraft\cherry_log.png	1.20.1.jar
minecraft:stripped_cherry_wood	Stripped Cherry Wood	minecraft		1.20.1.jar
minecraft:lime_glazed_terracotta	Lime Glazed Terracotta	minecraft	launcher-assets\item-icons\minecraft\lime_glazed_terracotta.png	1.20.1.jar
mca:villager_tracker_28	Villager Tracker 28	mca	launcher-assets\item-icons\mca\villager_tracker_28.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:orange_bed	Orange Bed	minecraft	launcher-assets\item-icons\minecraft\orange_bed.png	1.20.1.jar
minecraft:music_disc_relic	Music Disc	minecraft	launcher-assets\item-icons\minecraft\music_disc_relic.png	1.20.1.jar
minecraft:wolf_spawn_egg	Wolf Spawn Egg	minecraft		1.20.1.jar
minecraft:copper_ingot	Copper Ingot	minecraft	launcher-assets\item-icons\minecraft\copper_ingot.png	1.20.1.jar
mca:villager_tracker_16	Villager Tracker 16	mca	launcher-assets\item-icons\mca\villager_tracker_16.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:waxed_exposed_copper	Waxed Exposed Copper	minecraft		1.20.1.jar
minecraft:dark_prismarine_stairs	Dark Prismarine Stairs	minecraft		1.20.1.jar
minecraft:cyan_terracotta	Cyan Terracotta	minecraft	launcher-assets\item-icons\minecraft\cyan_terracotta.png	1.20.1.jar
mca:scythe	Foice	mca	launcher-assets\item-icons\mca\scythe.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:bubble_coral_block	Bubble Coral Block	minecraft	launcher-assets\item-icons\minecraft\bubble_coral_block.png	1.20.1.jar
minecraft:dark_oak_hanging_sign	Dark Oak Hanging Sign	minecraft	launcher-assets\item-icons\minecraft\dark_oak_hanging_sign.png	1.20.1.jar
minecraft:piglin_spawn_egg	Piglin Spawn Egg	minecraft		1.20.1.jar
minecraft:danger_pottery_sherd	Danger Pottery Sherd	minecraft	launcher-assets\item-icons\minecraft\danger_pottery_sherd.png	1.20.1.jar
domum_ornamentum:orange_floating_carpet	Orange Floating Carpet	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:sugar_cane	Sugar Cane	minecraft	launcher-assets\item-icons\minecraft\sugar_cane.png	1.20.1.jar
minecraft:large_amethyst_bud	Large Amethyst Bud	minecraft	launcher-assets\item-icons\minecraft\large_amethyst_bud.png	1.20.1.jar
mca:green_dark_oak_crib	Berço de Carvalho Escuro Verde	mca	launcher-assets\item-icons\mca\green_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:redstone_lamp	Redstone Lamp	minecraft	launcher-assets\item-icons\minecraft\redstone_lamp.png	1.20.1.jar
minecraft:black_bed	Black Bed	minecraft	launcher-assets\item-icons\minecraft\black_bed.png	1.20.1.jar
minecraft:pillager_spawn_egg	Pillager Spawn Egg	minecraft		1.20.1.jar
minecraft:obsidian	Obsidian	minecraft	launcher-assets\item-icons\minecraft\obsidian.png	1.20.1.jar
minecraft:brown_dye	Brown Dye	minecraft	launcher-assets\item-icons\minecraft\brown_dye.png	1.20.1.jar
minecraft:lodestone	Lodestone	minecraft		1.20.1.jar
minecolonies:large_empty_bottle	Large Bottle	minecolonies	launcher-assets\item-icons\minecolonies\large_empty_bottle.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:beef	Raw Beef	minecraft	launcher-assets\item-icons\minecraft\beef.png	1.20.1.jar
domum_ornamentum:pink_brick_extra	Pink Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:black_stained_glass	Black Stained Glass	minecraft	launcher-assets\item-icons\minecraft\black_stained_glass.png	1.20.1.jar
minecraft:brown_concrete	Brown Concrete	minecraft	launcher-assets\item-icons\minecraft\brown_concrete.png	1.20.1.jar
minecraft:cobblestone_slab	Cobblestone Slab	minecraft		1.20.1.jar
mca:cyan_bamboo_crib	Berço de Bambu Ciano	mca	launcher-assets\item-icons\mca\cyan_bamboo_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:horizontal_light	Horizontal Light	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecolonies:tacos	Tacos	minecolonies	launcher-assets\item-icons\minecolonies\tacos.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:andesite_stairs	Andesite Stairs	minecraft		1.20.1.jar
minecraft:fermented_spider_eye	Fermented Spider Eye	minecraft	launcher-assets\item-icons\minecraft\fermented_spider_eye.png	1.20.1.jar
minecraft:mossy_stone_brick_slab	Mossy Stone Brick Slab	minecraft		1.20.1.jar
minecraft:blue_candle	Blue Candle	minecraft	launcher-assets\item-icons\minecraft\blue_candle.png	1.20.1.jar
minecolonies:blockhutplantation	Plantation	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:chiseled_stone_bricks	Chiseled Stone Bricks	minecraft	launcher-assets\item-icons\minecraft\chiseled_stone_bricks.png	1.20.1.jar
minecraft:green_dye	Green Dye	minecraft	launcher-assets\item-icons\minecraft\green_dye.png	1.20.1.jar
minecraft:light_blue_glazed_terracotta	Light Blue Glazed Terracotta	minecraft	launcher-assets\item-icons\minecraft\light_blue_glazed_terracotta.png	1.20.1.jar
minecolonies:baked_salmon	Baked Salmon	minecolonies	launcher-assets\item-icons\minecolonies\baked_salmon.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:firearrow	Fire Arrow	minecolonies	launcher-assets\item-icons\minecolonies\firearrow.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:dark_oak_sapling	Dark Oak Sapling	minecraft	launcher-assets\item-icons\minecraft\dark_oak_sapling.png	1.20.1.jar
minecraft:mourner_pottery_sherd	Mourner Pottery Sherd	minecraft	launcher-assets\item-icons\minecraft\mourner_pottery_sherd.png	1.20.1.jar
minecraft:brown_glazed_terracotta	Brown Glazed Terracotta	minecraft	launcher-assets\item-icons\minecraft\brown_glazed_terracotta.png	1.20.1.jar
minecraft:pink_petals	Pink Petals	minecraft	launcher-assets\item-icons\minecraft\pink_petals.png	1.20.1.jar
minecraft:wooden_hoe	Wooden Hoe	minecraft	launcher-assets\item-icons\minecraft\wooden_hoe.png	1.20.1.jar
minecraft:yellow_terracotta	Yellow Terracotta	minecraft	launcher-assets\item-icons\minecraft\yellow_terracotta.png	1.20.1.jar
minecraft:brush	Brush	minecraft	launcher-assets\item-icons\minecraft\brush.png	1.20.1.jar
domum_ornamentum:blockpaperwall	Blockpaperwall	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:brown_concrete_powder	Brown Concrete Powder	minecraft	launcher-assets\item-icons\minecraft\brown_concrete_powder.png	1.20.1.jar
minecraft:dark_oak_stairs	Dark Oak Stairs	minecraft		1.20.1.jar
minecraft:barrier	Barrier	minecraft	launcher-assets\item-icons\minecraft\barrier.png	1.20.1.jar
mca:baby_boy_empty	Baby Boy Empty	mca	launcher-assets\item-icons\mca\baby_boy_empty.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:dark_oak_wood	Dark Oak Wood	minecraft		1.20.1.jar
minecraft:yellow_concrete_powder	Yellow Concrete Powder	minecraft	launcher-assets\item-icons\minecraft\yellow_concrete_powder.png	1.20.1.jar
minecraft:red_shulker_box	Red Shulker Box	minecraft	launcher-assets\item-icons\minecraft\red_shulker_box.png	1.20.1.jar
minecolonies:scroll_tp	Ultrasafe Colony Teleport Scroll	minecolonies	launcher-assets\item-icons\minecolonies\scroll_tp.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:soul_sand	Soul Sand	minecraft	launcher-assets\item-icons\minecraft\soul_sand.png	1.20.1.jar
minecraft:pufferfish	Pufferfish	minecraft	launcher-assets\item-icons\minecraft\pufferfish.png	1.20.1.jar
minecraft:piston	Piston	minecraft		1.20.1.jar
minecraft:lime_candle	Lime Candle	minecraft	launcher-assets\item-icons\minecraft\lime_candle.png	1.20.1.jar
minecraft:music_disc_13	Music Disc	minecraft	launcher-assets\item-icons\minecraft\music_disc_13.png	1.20.1.jar
minecolonies:sushi_roll	Sushi Roll	minecolonies	launcher-assets\item-icons\minecolonies\sushi_roll.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:flower_banner_pattern	Banner Pattern	minecraft	launcher-assets\item-icons\minecraft\flower_banner_pattern.png	1.20.1.jar
minecolonies:onion	Onion	minecolonies	launcher-assets\item-icons\minecolonies\onion.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:horn_coral_fan	Horn Coral Fan	minecraft	launcher-assets\item-icons\minecraft\horn_coral_fan.png	1.20.1.jar
